feature,importance
earliest_cr_line_Jun_57,0.0
earliest_cr_line_Jun_58,0.0
earliest_cr_line_Jun_62,0.0
earliest_cr_line_Jun_63,0.0
earliest_cr_line_Jun_64,0.0
earliest_cr_line_Jun_65,0.0
earliest_cr_line_Jun_66,0.0
earliest_cr_line_Jun_67,0.0
earliest_cr_line_Jun_68,0.0
earliest_cr_line_Jun_69,0.0
earliest_cr_line_Jun_70,0.0
earliest_cr_line_Jun_71,0.0
earliest_cr_line_Jun_72,0.0
earliest_cr_line_Jun_73,0.0
earliest_cr_line_Jun_74,0.0
earliest_cr_line_Jun_75,0.0
earliest_cr_line_Jun_76,0.0
earliest_cr_line_Jun_77,0.0
earliest_cr_line_Jun_79,0.0
earliest_cr_line_Jun_80,0.0
earliest_cr_line_Jun_81,0.0
earliest_cr_line_Jun_82,0.0
earliest_cr_line_Jun_83,0.0
earliest_cr_line_Jun_84,0.0
earliest_cr_line_Jun_85,0.0
earliest_cr_line_Jun_86,0.0
earliest_cr_line_Jun_87,0.0
earliest_cr_line_Jun_88,0.0
earliest_cr_line_Jun_89,0.0
earliest_cr_line_Jun_90,0.0
earliest_cr_line_Jun_91,0.0
earliest_cr_line_Jun_94,0.0
earliest_cr_line_Jun_95,0.0
earliest_cr_line_Jun_96,0.0
earliest_cr_line_Jun_97,0.0
earliest_cr_line_Mar_01,0.0
earliest_cr_line_Mar_04,0.0
earliest_cr_line_Sep_92,0.0
earliest_cr_line_Mar_06,0.0
earliest_cr_line_Mar_07,0.0
earliest_cr_line_Mar_08,0.0
earliest_cr_line_Mar_09,0.0
earliest_cr_line_Mar_10,0.0
earliest_cr_line_Mar_11,0.0
earliest_cr_line_Mar_58,0.0
earliest_cr_line_Mar_60,0.0
earliest_cr_line_Mar_62,0.0
earliest_cr_line_Mar_63,0.0
earliest_cr_line_Mar_64,0.0
earliest_cr_line_Mar_65,0.0
earliest_cr_line_Mar_66,0.0
earliest_cr_line_Mar_67,0.0
earliest_cr_line_Mar_68,0.0
earliest_cr_line_Mar_69,0.0
earliest_cr_line_Mar_70,0.0
earliest_cr_line_Mar_71,0.0
earliest_cr_line_Mar_72,0.0
earliest_cr_line_Mar_73,0.0
earliest_cr_line_Mar_74,0.0
earliest_cr_line_Mar_75,0.0
earliest_cr_line_Mar_76,0.0
earliest_cr_line_Mar_77,0.0
earliest_cr_line_Mar_78,0.0
earliest_cr_line_Mar_79,0.0
earliest_cr_line_Mar_80,0.0
earliest_cr_line_Mar_81,0.0
earliest_cr_line_Mar_82,0.0
earliest_cr_line_Mar_83,0.0
earliest_cr_line_Mar_84,0.0
earliest_cr_line_Mar_85,0.0
earliest_cr_line_Mar_86,0.0
earliest_cr_line_Mar_87,0.0
earliest_cr_line_Mar_88,0.0
earliest_cr_line_Mar_89,0.0
earliest_cr_line_Mar_90,0.0
earliest_cr_line_Mar_91,0.0
earliest_cr_line_Sep_53,0.0
earliest_cr_line_Sep_85,0.0
sub_grade_D4,0.0
earliest_cr_line_Sep_95,0.0
earliest_cr_line_Sep_96,0.0
earliest_cr_line_Sep_97,0.0
earliest_cr_line_Sep_98,0.0
sub_grade_E4,0.0
sub_grade_E5,0.0
